               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   O*                   CO                  CO2
                 539               579972         3.2280000000000000E+04         1.9000000000000000E+02        -2.2256762000005315E+03                1438                   87                -1927                  489
                 540               581164         3.2340000000000000E+04         1.9000000000000000E+02        -2.2249094500005181E+03                1437                   87                -1926                  489
                 541               582300         3.2400000000000000E+04         1.9000000000000000E+02        -2.2249196000005159E+03                1437                   86                -1927                  490
                 542               583362         3.2460000000000000E+04         1.9000000000000000E+02        -2.2256447500005138E+03                1438                   86                -1928                  490
                 543               584589         3.2520000000000000E+04         1.9000000000000000E+02        -2.2254018500005000E+03                1438                   86                -1928                  490
                 544               585797         3.2580000000000000E+04         1.9000000000000000E+02        -2.2248696000005098E+03                1437                   86                -1927                  490
                 545               586989         3.2640000000000000E+04         1.9000000000000000E+02        -2.2257399000005166E+03                1438                   86                -1928                  490
                 546               588107         3.2700000000000000E+04         1.9000000000000000E+02        -2.2248309000005124E+03                1437                   86                -1927                  490
                 547               589344         3.2760000000000000E+04         1.9000000000000000E+02        -2.2248881500005195E+03                1437                   86                -1927                  490
                 548               590505         3.2820000000000000E+04         1.9000000000000000E+02        -2.2248569000005200E+03                1437                   86                -1927                  490
                 549               591657         3.2880000000000000E+04         1.9000000000000000E+02        -2.2246425500005098E+03                1437                   86                -1927                  490
                 550               592813         3.2940000000000000E+04         1.9000000000000000E+02        -2.2240487500005165E+03                1436                   86                -1926                  490
                 551               594055         3.3000000000000000E+04         1.9000000000000000E+02        -2.2240082000005245E+03                1436                   86                -1926                  490
                 552               595273         3.3060000000000000E+04         1.9000000000000000E+02        -2.2233586500005181E+03                1435                   86                -1925                  490
                 553               596395         3.3120000000000000E+04         1.9000000000000000E+02        -2.2234733500005309E+03                1435                   86                -1925                  490
                 554               597495         3.3180000000000000E+04         1.9000000000000000E+02        -2.2233675500005224E+03                1435                   86                -1925                  490
                 555               598617         3.3240000000000000E+04         1.9000000000000000E+02        -2.2231334000005136E+03                1435                   86                -1925                  490
                 556               599813         3.3300000000000000E+04         1.9000000000000000E+02        -2.2232191000005118E+03                1435                   86                -1925                  490
                 557               600978         3.3360000000000000E+04         1.9000000000000000E+02        -2.2222929500005262E+03                1435                   84                -1927                  492
                 558               602205         3.3420000000000000E+04         1.9000000000000000E+02        -2.2240097500005163E+03                1437                   84                -1929                  492
                 559               603367         3.3480000000000000E+04         1.9000000000000000E+02        -2.2234051500005276E+03                1436                   83                -1929                  493
                 560               604436         3.3540000000000000E+04         1.9000000000000000E+02        -2.2237471000005175E+03                1436                   83                -1929                  493
                 561               605587         3.3600000000000000E+04         1.9000000000000000E+02        -2.2253909500005138E+03                1438                   83                -1931                  493
                 562               606726         3.3660000000000000E+04         1.9000000000000000E+02        -2.2255879000005161E+03                1438                   83                -1931                  493
                 563               607908         3.3720000000000000E+04         1.9000000000000000E+02        -2.2260302000005222E+03                1439                   83                -1932                  493
                 564               609028         3.3780000000000000E+04         1.9000000000000000E+02        -2.2264759000005160E+03                1439                   83                -1932                  493
                 565               610237         3.3840000000000000E+04         1.9000000000000000E+02        -2.2255416000005134E+03                1438                   83                -1931                  493
                 566               611459         3.3900000000000000E+04         1.9000000000000000E+02        -2.2256920500005240E+03                1438                   83                -1931                  493
                 567               612606         3.3960000000000000E+04         1.9000000000000000E+02        -2.2264373000005289E+03                1439                   83                -1932                  493
                 568               613777         3.4020000000000000E+04         1.9000000000000000E+02        -2.2275274500005248E+03                1440                   83                -1933                  493
                 569               614913         3.4080000000000000E+04         1.9000000000000000E+02        -2.2275136500005192E+03                1440                   83                -1933                  493
                 570               616097         3.4140000000000000E+04         1.9000000000000000E+02        -2.2274321500005335E+03                1440                   83                -1933                  493
                 571               617237         3.4200000000000000E+04         1.9000000000000000E+02        -2.2274028000005364E+03                1440                   83                -1933                  493
                 572               618450         3.4260000000000000E+04         1.9000000000000000E+02        -2.2275001000005241E+03                1440                   83                -1933                  493
                 573               619632         3.4320000000000000E+04         1.9000000000000000E+02        -2.2266653500005223E+03                1439                   83                -1932                  493
                 574               620782         3.4380000000000000E+04         1.9000000000000000E+02        -2.2266861500005084E+03                1439                   83                -1932                  493
                 575               621965         3.4440000000000000E+04         1.9000000000000000E+02        -2.2274140500005160E+03                1440                   83                -1933                  493
                 576               623080         3.4500000000000000E+04         1.9000000000000000E+02        -2.2276998000005146E+03                1440                   83                -1933                  493
                 577               624175         3.4560000000000000E+04         1.9000000000000000E+02        -2.2276178000005216E+03                1440                   83                -1933                  493
                 578               625285         3.4620000000000000E+04         1.9000000000000000E+02        -2.2253499000005108E+03                1438                   82                -1932                  494
                 579               626520         3.4680000000000000E+04         1.9000000000000000E+02        -2.2264384000005202E+03                1439                   82                -1933                  494
                 580               627745         3.4740000000000000E+04         1.9000000000000000E+02        -2.2265670000005121E+03                1439                   82                -1933                  494
                 581               628936         3.4800000000000000E+04         1.9000000000000000E+02        -2.2272749500005175E+03                1440                   82                -1934                  494
                 582               630073         3.4860000000000000E+04         1.9000000000000000E+02        -2.2266265500005188E+03                1439                   82                -1933                  494
                 583               631254         3.4920000000000000E+04         1.9000000000000000E+02        -2.2266339000005200E+03                1439                   82                -1933                  494
                 584               632462         3.4980000000000000E+04         1.9000000000000000E+02        -2.2267520000005261E+03                1439                   82                -1933                  494
                 585               633676         3.5040000000000000E+04         1.9000000000000000E+02        -2.2266578000005211E+03                1439                   82                -1933                  494
                 586               634847         3.5100000000000000E+04         1.9000000000000000E+02        -2.2267303500005178E+03                1439                   82                -1933                  494
                 587               636087         3.5160000000000000E+04         1.9000000000000000E+02        -2.2265817500005155E+03                1439                   82                -1933                  494
                 588               637293         3.5220000000000000E+04         1.9000000000000000E+02        -2.2274092000005276E+03                1440                   82                -1934                  494
                 589               638558         3.5280000000000000E+04         1.9000000000000000E+02        -2.2283345500005180E+03                1441                   82                -1935                  494
                 590               639709         3.5340000000000000E+04         1.9000000000000000E+02        -2.2274653500005179E+03                1440                   82                -1934                  494
                 591               640905         3.5400000000000000E+04         1.9000000000000000E+02        -2.2284447500005167E+03                1441                   82                -1935                  494
                 592               642035         3.5460000000000000E+04         1.9000000000000000E+02        -2.2290936000005227E+03                1442                   82                -1936                  494
                 593               643240         3.5520000000000000E+04         1.9000000000000000E+02        -2.2290482500005137E+03                1442                   82                -1936                  494
                 594               644457         3.5580000000000000E+04         1.9000000000000000E+02        -2.2293195000005230E+03                1442                   82                -1936                  494
                 595               645583         3.5640000000000000E+04         1.9000000000000000E+02        -2.2292325000005185E+03                1442                   82                -1936                  494
                 596               646888         3.5700000000000000E+04         1.9000000000000000E+02        -2.2292927500005303E+03                1442                   82                -1936                  494
                 597               648030         3.5760000000000000E+04         1.9000000000000000E+02        -2.2292723000005212E+03                1442                   82                -1936                  494
                 598               649240         3.5820000000000000E+04         1.9000000000000000E+02        -2.2295727000005222E+03                1442                   82                -1936                  494
                 599               650404         3.5880000000000000E+04         1.9000000000000000E+02        -2.2294851000005274E+03                1442                   82                -1936                  494
                 600               651579         3.5940000000000000E+04         1.9000000000000000E+02        -2.2292964500005255E+03                1442                   82                -1936                  494
                 601               652736         3.6000000000000000E+04         1.9000000000000000E+02        -2.2293218000005181E+03                1442                   82                -1936                  494
                 602               653875         3.6060000000000000E+04         1.9000000000000000E+02        -2.2284859000005122E+03                1441                   82                -1935                  494
                 603               654933         3.6120000000000000E+04         1.9000000000000000E+02        -2.2292338000005166E+03                1442                   82                -1936                  494
                 604               656026         3.6180000000000000E+04         1.9000000000000000E+02        -2.2292995000005194E+03                1442                   82                -1936                  494
                 605               657190         3.6240000000000000E+04         1.9000000000000000E+02        -2.2300687500005229E+03                1443                   82                -1937                  494
                 606               658469         3.6300000000000000E+04         1.9000000000000000E+02        -2.2292772500005153E+03                1442                   82                -1936                  494
                 607               659660         3.6360000000000000E+04         1.9000000000000000E+02        -2.2295359500005175E+03                1442                   82                -1936                  494
                 608               660808         3.6420000000000000E+04         1.9000000000000000E+02        -2.2293740000005191E+03                1442                   82                -1936                  494
                 609               661894         3.6480000000000000E+04         1.9000000000000000E+02        -2.2294003000005259E+03                1442                   82                -1936                  494
                 610               663110         3.6540000000000000E+04         1.9000000000000000E+02        -2.2293661000005213E+03                1442                   82                -1936                  494
                 611               664386         3.6600000000000000E+04         1.9000000000000000E+02        -2.2292233500005218E+03                1442                   82                -1936                  494
                 612               665539         3.6660000000000000E+04         1.9000000000000000E+02        -2.2292442000005185E+03                1442                   82                -1936                  494
                 613               666746         3.6720000000000000E+04         1.9000000000000000E+02        -2.2292355000005164E+03                1442                   82                -1936                  494
                 614               667926         3.6780000000000000E+04         1.9000000000000000E+02        -2.2291031500005124E+03                1442                   82                -1936                  494
                 615               669098         3.6840000000000000E+04         1.9000000000000000E+02        -2.2292743500005181E+03                1442                   82                -1936                  494
                 616               670199         3.6900000000000000E+04         1.9000000000000000E+02        -2.2292734000005175E+03                1442                   82                -1936                  494
                 617               671377         3.6960000000000000E+04         1.9000000000000000E+02        -2.2292439000005161E+03                1442                   82                -1936                  494
                 618               672496         3.7020000000000000E+04         1.9000000000000000E+02        -2.2290439500005191E+03                1442                   81                -1937                  495
                 619               673715         3.7080000000000000E+04         1.9000000000000000E+02        -2.2288448500005211E+03                1442                   80                -1938                  496
                 620               674881         3.7140000000000000E+04         1.9000000000000000E+02        -2.2304069000005188E+03                1444                   80                -1940                  496
                 621               676114         3.7200000000000000E+04         1.9000000000000000E+02        -2.2308714500005299E+03                1445                   79                -1942                  497
                 622               677311         3.7260000000000000E+04         1.9000000000000000E+02        -2.2316784500005165E+03                1446                   79                -1943                  497
                 623               678511         3.7320000000000000E+04         1.9000000000000000E+02        -2.2300365500005200E+03                1445                   78                -1943                  498
                 624               679668         3.7380000000000000E+04         1.9000000000000000E+02        -2.2305638500005371E+03                1445                   78                -1943                  498
                 625               680977         3.7440000000000000E+04         1.9000000000000000E+02        -2.2309437500005192E+03                1445                   78                -1943                  498
                 626               682109         3.7500000000000000E+04         1.9000000000000000E+02        -2.2308741500005244E+03                1445                   78                -1943                  498
                 627               683296         3.7560000000000000E+04         1.9000000000000000E+02        -2.2316454500005170E+03                1446                   78                -1944                  498
                 628               684481         3.7620000000000000E+04         1.9000000000000000E+02        -2.2318541500005158E+03                1446                   78                -1944                  498
                 629               685746         3.7680000000000000E+04         1.9000000000000000E+02        -2.2324439000005154E+03                1447                   78                -1945                  498
                 630               686865         3.7740000000000000E+04         1.9000000000000000E+02        -2.2325612000005235E+03                1447                   78                -1945                  498
                 631               687983         3.7800000000000000E+04         1.9000000000000000E+02        -2.2331480000005245E+03                1448                   77                -1947                  499
                 632               689060         3.7860000000000000E+04         1.9000000000000000E+02        -2.2330116000005273E+03                1448                   77                -1947                  499
                 633               690244         3.7920000000000000E+04         1.9000000000000000E+02        -2.2340173000005334E+03                1449                   77                -1948                  499
                 634               691431         3.7980000000000000E+04         1.9000000000000000E+02        -2.2339881500005467E+03                1449                   76                -1949                  500
                 635               692616         3.8040000000000000E+04         1.9000000000000000E+02        -2.2339520500005397E+03                1449                   76                -1949                  500
                 636               693819         3.8100000000000000E+04         1.9000000000000000E+02        -2.2348878000005466E+03                1450                   76                -1950                  500
                 637               695016         3.8160000000000000E+04         1.9000000000000000E+02        -2.2350313500005368E+03                1450                   76                -1950                  500
                 638               696200         3.8220000000000000E+04         1.9000000000000000E+02        -2.2349115500005460E+03                1450                   75                -1951                  501
                 639               697286         3.8280000000000000E+04         1.9000000000000000E+02        -2.2349394500005474E+03                1450                   75                -1951                  501
                 640               698525         3.8340000000000000E+04         1.9000000000000000E+02        -2.2349388000005483E+03                1450                   75                -1951                  501
                 641               699663         3.8400000000000000E+04         1.9000000000000000E+02        -2.2354641500005514E+03                1451                   75                -1952                  501
                 642               700883         3.8460000000000000E+04         1.9000000000000000E+02        -2.2363997000005556E+03                1452                   75                -1953                  501
                 643               701949         3.8520000000000000E+04         1.9000000000000000E+02        -2.2356551000005534E+03                1451                   75                -1952                  501
                 644               703089         3.8580000000000000E+04         1.9000000000000000E+02        -2.2355977000005496E+03                1451                   75                -1952                  501
                 645               704234         3.8640000000000000E+04         1.9000000000000000E+02        -2.2356060000005496E+03                1451                   75                -1952                  501
                 646               705438         3.8700000000000000E+04         1.9000000000000000E+02        -2.2357272000005482E+03                1451                   75                -1952                  501
                 647               706526         3.8760000000000000E+04         1.9000000000000000E+02        -2.2355612000005513E+03                1451                   75                -1952                  501
                 648               707680         3.8820000000000000E+04         1.9000000000000000E+02        -2.2357954000005475E+03                1451                   75                -1952                  501
                 649               708919         3.8880000000000000E+04         1.9000000000000000E+02        -2.2358222500005445E+03                1451                   75                -1952                  501
                 650               710107         3.8940000000000000E+04         1.9000000000000000E+02        -2.2358985500005538E+03                1451                   75                -1952                  501
                 651               711307         3.9000000000000000E+04         1.9000000000000000E+02        -2.2353390500005466E+03                1451                   74                -1953                  502
                 652               712523         3.9060000000000000E+04         1.9000000000000000E+02        -2.2365860000005464E+03                1452                   74                -1954                  502
                 653               713694         3.9120000000000000E+04         1.9000000000000000E+02        -2.2371691500005413E+03                1453                   74                -1955                  502
                 654               714930         3.9180000000000000E+04         1.9000000000000000E+02        -2.2373094000005490E+03                1453                   74                -1955                  502
                 655               716111         3.9240000000000000E+04         1.9000000000000000E+02        -2.2373035000005430E+03                1453                   74                -1955                  502
                 656               717242         3.9300000000000000E+04         1.9000000000000000E+02        -2.2373627500005496E+03                1453                   74                -1955                  502
                 657               718472         3.9360000000000000E+04         1.9000000000000000E+02        -2.2373439000005483E+03                1453                   74                -1955                  502
                 658               719602         3.9420000000000000E+04         1.9000000000000000E+02        -2.2372861500005474E+03                1453                   74                -1955                  502
                 659               720794         3.9480000000000000E+04         1.9000000000000000E+02        -2.2373020500005523E+03                1453                   74                -1955                  502
                 660               721976         3.9540000000000000E+04         1.9000000000000000E+02        -2.2374786500005480E+03                1453                   74                -1955                  502
                 661               723180         3.9600000000000000E+04         1.9000000000000000E+02        -2.2373292500005487E+03                1453                   74                -1955                  502
                 662               724377         3.9660000000000000E+04         1.9000000000000000E+02        -2.2373935500005391E+03                1453                   74                -1955                  502
                 663               725573         3.9720000000000000E+04         1.9000000000000000E+02        -2.2380264000005409E+03                1454                   74                -1956                  502
                 664               726827         3.9780000000000000E+04         1.9000000000000000E+02        -2.2383363500005494E+03                1454                   74                -1956                  502
                 665               727986         3.9840000000000000E+04         1.9000000000000000E+02        -2.2381463000005488E+03                1454                   74                -1956                  502
                 666               729211         3.9900000000000000E+04         1.9000000000000000E+02        -2.2373161500005435E+03                1453                   74                -1955                  502
                 667               730432         3.9960000000000000E+04         1.9000000000000000E+02        -2.2379011000005444E+03                1454                   74                -1956                  502
                 668               731611         4.0020000000000000E+04         1.9000000000000000E+02        -2.2379427000005503E+03                1454                   74                -1956                  502
